CASE;CASE_X;CASE_Y;CASE_Z;STRESS;INT;REF;CRIT;LOC;MESH_X;MESH_Y;MESH_Z;LOAD_N;SIG_0_ABS;SIG_0;VTK;ERR_EXT;PIA_FIX;GP_DEBUG
POR;50.8;1.0;1.5;RAW;G5;NDX;PIA;A;48;72;6;3.45;False;1.0;0;0;1;0
POR;50.8;2.0;1.5;RAW;G5;NDX;PIA;A;48;72;6;3.45;False;1.0;0;0;1;0
POR;50.8;4.0;1.5;RAW;G5;NDX;PIA;A;48;72;6;3.45;False;1.0;0;0;1;0
POR;50.8;8.0;1.5;RAW;G5;NDX;PIA;A;48;72;6;3.45;False;1.0;0;0;1;0
POR;50.8;10.0;1.5;RAW;G5;NDX;PIA;A;48;72;6;3.45;False;1.0;0;0;1;0
POR;50.8;16.0;1.5;RAW;G5;NDX;PIA;A;48;72;6;3.45;False;1.0;0;0;1;0
POR;50.8;20.0;1.5;RAW;G5;NDX;PIA;A;48;72;6;3.45;False;1.0;0;0;1;0
