CASE;CASE_X;CASE_Y;CASE_Z;STRESS;INT;REF;CRIT;LOC;MESH_X;MESH_Y;MESH_Z;LOAD_N;SIG_0_ABS;SIG_0;VTK;ERR_EXT;PIA_FIX
POR;50.8;0;1.5;RAW;G26;NDX;PIA;V;8;12;6;3.45;TRUE;1000;0;0;1
POR;50.8;0;1.5;AVG;G26;NDX;PIA;V;8;12;6;3.45;TRUE;1000;0;0;1
POR;50.8;0;1.5;RAW;G26;NDX;PIA;A;8;12;6;3.45;TRUE;1000;0;0;1
POR;50.8;0;1.5;AVG;G26;NDX;PIA;A;8;12;6;3.45;TRUE;1000;0;0;1
PWH;200;200;1;RAW;G26;NDX;PIA;V;12;12;1;40.0;TRUE;100;0;0;1
PWH;200;200;1;AVG;G26;NDX;PIA;V;12;12;1;40.0;TRUE;100;0;0;1
