CASE;CASE_X;CASE_Y;CASE_Z;STRESS;INT;REF;CRIT;LOC;MESH_X;MESH_Y;MESH_Z;LOAD_N;SIG_0_ABS;SIG_0;VTK;ERR_EXT;PIA_FIX
POR;50.8;0;1.5;RAW;G26;NDX;PIA;A;64;96;6;3.45;False;1.0;0;0;1
POR;50.8;0;1.5;AVG;G26;NDX;PIA;A;64;96;6;3.45;False;1.0;0;0;1
